mh#wiz11	Frost Fingers
mh#wiz12	Barrier

mh#wiz21	Spark Shower
mh#wiz22	Seeking
mh#wiz23	Summon Cats
mh#wiz24	Cat's Grace
mh#wiz25	Bear's Endurance

mh#wiz31	Improved Magic Missile
mh#wiz32	Heroism
mh#wiz33	Blink
mh#wiz34	Scintillating Sphere
mh#wiz35	Minor Malison
mh#wiz36	Ball Lightning
mh#wiz37	Gust of Wind

mh#wiz41	Iron Maiden
mh#wiz42	Slumber
mh#wiz43	Rary's Mnemonic Enhancer
mh#wiz44	Evard's Black Tentacles
mh#wiz45	Wall of Flame

mh#wiz51	Superheroism
mh#wiz52	Spell Matrix
mh#wiz53	Ramazith's Slime Summons
mh#wiz54	Snilloc's Major Missile

mh#wiz61	Mordenkainen's Lucubration
mh#wiz62	Mirage Arcana

mh#wiz71	Faerie Sword
mh#wiz72	Stygian Ice Storm

mh#wiz81	Deathbolt
mh#wiz82	Major Globe of Invulnerability
mh#wiz83	Polar Ray
mh#wiz84	Mechanus' Cannon
mh#wiz85	Sunburst

mh#wiz91	Rune of Torment
mh#wiz92	Weird
mh#wiz93	Foresight


mh#prs53	Break Enchantment


